Date,Open,High,Low,Close,Volume
2019-01-02,161.21,165.14,160.95,164.08,1465400
2019-01-03,165.83,169.32,163.18,163.73,1690900
2019-01-04,165.9,173.31,164.9,172.7,1874500
2019-01-07,173.05,176.78,170.87,175.85,1294600
2019-01-08,177,178.41,174.72,178.19,1653200
2019-01-09,179.14,182.7,178.25,182.3,2298500
2019-01-10,181.85,186.09,180.26,186.03,1988200
2019-01-11,184.62,188.86,183.43,188.16,2222600
2019-01-14,186.71,186.99,183.78,183.91,1962000
2019-01-15,184.37,186.76,183.06,186.68,1330500
2019-01-16,186.21,188.34,184.13,186.15,2251200
2019-01-17,185.77,191.42,184.71,190.52,1605900
2019-01-18,192.63,194.78,189.41,194.7,2150100
2019-01-22,193.48,195.81,192.39,193.88,2003900
2019-01-23,194.67,195.2,187.78,189.89,2043000
2019-01-24,189.64,190.23,186.47,186.58,1825300
2019-01-25,188.16,190.39,186.27,189.5,1404800
2019-01-28,188.94,188.98,185.76,188.09,1513500
2019-01-29,188.16,188.26,184.7,186.38,1024500
2019-01-30,185.84,187.92,184.5,187.05,1385900
2019-01-31,187.17,190.98,186.86,190.91,900800
2019-02-01,190.92,193.03,189.92,191.52,892800
2019-02-04,189.19,189.28,184.49,187.98,1482300
2019-02-05,185.81,190.74,185.44,187.02,1643500
2019-02-06,193,193,182.06,182.39,1915700
2019-02-07,181.5,182.59,178.99,180.18,1462500
2019-02-08,178.76,181.45,178.76,181.34,980600
2019-02-11,182.05,182.17,178.4,181.53,2037000
2019-02-12,181.44,184.3,181.44,184.01,1316600
2019-02-13,185,186.25,184.35,185.25,1244500
2019-02-14,184.52,186.84,183.53,185.72,917800
2019-02-15,185.67,188.56,185.67,188.07,1408200
2019-02-19,187.9,189.09,185.83,186.86,1823700
2019-02-20,186.06,188.64,185.65,187.84,1066300
2019-02-21,187.7,188.12,182.16,183.06,1087000
2019-02-22,184.33,185.84,182.94,185.76,1027400
2019-02-25,186.74,188.1,185.63,186.33,1268800
2019-02-26,186.26,189.99,184.89,188.92,1478000
2019-02-27,187.97,189.87,186.44,189.81,633200
2019-02-28,189.74,190.04,188.23,188.75,1194700
2019-03-01,189.95,192.69,189.28,192.16,887600
2019-03-04,193.03,193.89,186.71,190.04,1208600
2019-03-05,190.16,190.51,187.52,187.8,1409100
2019-03-06,188.18,188.7,180.56,181.11,1381000
2019-03-07,181.36,181.83,177.45,178.61,1432900
2019-03-08,177.26,177.62,173.59,177.26,1451500
2019-03-11,177.94,180.56,177.78,180.52,1350700
2019-03-12,181.15,183.23,179.85,182.57,1545300
2019-03-13,183.37,186.78,182.21,185.66,1202300
2019-03-14,185.62,186.66,184.45,186.11,785700
2019-03-15,186.88,189.35,186.37,188.09,2768600
2019-03-18,188,189.21,185.53,187.48,1554100
2019-03-19,184.64,185,181.18,181.76,1556200
2019-03-20,181.53,182.46,179.54,179.98,1213600
2019-03-21,178.22,182.74,178.22,182.56,1156500
2019-03-22,182.07,183.85,181.04,181.53,1612300
2019-03-25,181.67,185.06,181.44,183.85,1754500
2019-03-26,185.24,190.07,184.83,189.91,1373700
2019-03-27,190,190.01,185.62,185.82,1181200
2019-03-28,186.01,186.94,181.49,182.42,1615200
2019-03-29,184.29,184.86,181.92,183.95,1274700
2019-04-01,185.2,187.38,184.68,186.05,1030000
2019-04-02,185.96,189.43,184.91,187.11,814400
2019-04-03,187.9,188.98,187.01,187.89,829400
2019-04-04,188.22,188.34,182.49,184.15,1193400
2019-04-05,184.49,189.35,184.24,188.89,2289000
2019-04-08,189.27,189.95,186.67,188.93,910100
2019-04-09,188.01,189.7,187.75,188.31,976000
2019-04-10,188.32,191.71,187.07,190.37,1155900
2019-04-11,191.08,191.42,184.22,185.12,1971900
2019-04-12,185.42,186.47,182.31,182.78,1077400
2019-04-15,182.27,184.32,180.24,182.49,826700
2019-04-16,183.63,184.8,179.59,179.74,900300
2019-04-17,180.45,180.75,166.65,166.97,2851100
2019-04-18,169.96,170.45,163.68,168.16,3195700
2019-04-22,167.79,169.86,166.2,168.52,1213500
2019-04-23,169.22,175.6,168.77,175.37,1514600
2019-04-24,175.58,175.86,171.76,172.58,1164500
2019-04-25,172.4,175.22,170.2,174.61,806500
2019-04-26,173.98,174.42,170.01,172.85,1117700
2019-04-29,172.58,173.67,171.22,172.52,750300
2019-04-30,173.93,174.92,168.49,168.98,1619800
2019-05-01,168.76,175.6,168.51,172.6,1824800
2019-05-02,172.1,172.49,167.8,169.54,1209800
2019-05-03,170.05,174.19,169.46,173.87,971800
2019-05-06,170.3,175.15,169.95,174.76,888300
2019-05-07,172.33,174.38,168.59,170.28,1345900
2019-05-08,170.06,171.54,168.4,169.01,1121600
2019-05-09,167.4,170.5,166.48,169.91,820200
2019-05-10,169.36,169.36,164.31,168.85,805700
2019-05-13,165.7,167.48,164.07,164.61,1118500
2019-05-14,165.6,167.58,164.96,166.72,938200
2019-05-15,165.41,168.22,164.96,166.88,663700
2019-05-16,167.63,173.41,167.63,170.23,1688900
2019-05-17,168.9,170.84,167.97,168.73,898200
2019-05-20,167.77,168.25,165.68,165.73,644300
2019-05-21,167.89,170.15,167.38,169.12,703300
2019-05-22,168.47,174.29,168.47,172.37,1230400
2019-05-23,171.61,173.32,169.5,173.01,1272800
2019-05-24,174.31,175.94,171.37,171.77,1115700
2019-05-28,172.24,173.79,171.06,172.76,1542100
2019-05-29,171.15,171.87,166.3,166.55,1788400
2019-05-30,167.26,170.5,167.26,170.26,902900
2019-05-31,168.49,169.99,166.1,166.18,982500
2019-06-03,166.87,168.85,165.8,166.64,1080600
2019-06-04,168.16,172.97,167.08,171.27,1456800
2019-06-05,171.9,174,170.39,173.27,1254500
2019-06-06,173.22,173.99,167.42,167.75,1261100
2019-06-07,169.43,173.98,169.26,173.51,1109600
2019-06-10,173.29,174.12,171.51,172.84,1025100
2019-06-11,174.08,174.88,171.75,172,1442300
2019-06-12,172.6,173.47,169.26,170.63,1444600
2019-06-13,171.17,171.95,167.84,168.89,951600
2019-06-14,168.9,170.99,167.94,170.22,806100
2019-06-17,171.17,174.14,171.17,173.78,955600
2019-06-18,175.97,178.9,174.8,177.94,1521400
2019-06-19,178.52,182.14,177,181.75,1535400
2019-06-20,183.52,186.33,181.21,182.17,1217700
2019-06-21,183.34,184.45,180.76,183.97,1844600
2019-06-24,184.56,184.98,180.55,181.02,764000
2019-06-25,181.64,183.1,179.49,180.15,960100
2019-06-26,180.11,181.03,177.13,177.66,768700
2019-06-27,178,179.24,176.68,178.58,731500
2019-06-28,179.74,184.99,178.75,183.38,1604900
2019-07-01,185.07,185.14,180.81,181.84,1111500
2019-07-02,181.54,181.54,178.88,179.53,819600
2019-07-03,180.25,183.45,178.54,183.26,571600
2019-07-05,179.45,183.24,177.41,178.34,878900
2019-07-08,177.76,177.76,174.18,176.75,818900
2019-07-09,175.62,178.63,174.78,178.46,714700
2019-07-10,179,179.75,175.53,178.76,766600
2019-07-11,178.81,178.86,172.74,176.01,1258100
2019-07-12,176.06,176.27,173.95,175.79,1004000
2019-07-15,176.16,178.08,174.7,176.37,1055300
2019-07-16,176.47,177.93,175.58,176.16,620000
2019-07-17,176.93,179.24,176.33,177.14,773100
2019-07-18,176.92,178.58,176.38,178.09,853500
2019-07-19,179.15,179.15,174.05,174.13,1121600
2019-07-22,173.34,174.57,172.41,174.08,1121000
2019-07-23,174.43,176.36,173.4,175.24,828400
2019-07-24,175,175,172.31,173.34,1135700
2019-07-25,172.22,172.51,169.02,169.56,1784000
2019-07-26,170.18,171.13,165.85,166.83,1640900
2019-07-29,167.21,167.51,165.27,166.23,1366600
2019-07-30,165.74,171.1,165.52,169.54,2339000
2019-07-31,168.79,170.21,165.66,166.62,1460400
2019-08-01,173.42,181.3,170.13,179.29,3130300
2019-08-02,177.78,180.97,177.06,178.39,1814900
2019-08-05,176.44,177.14,173.92,175.56,1709400
2019-08-06,174.23,177.05,173.64,176.94,1287600
2019-08-07,175.11,176.47,172.48,175.65,941000
2019-08-08,175.59,183.11,175.59,182.94,1641700
2019-08-09,182.94,184.07,179.39,182.98,1275800
2019-08-12,182.06,183.14,179.12,179.84,1160900
2019-08-13,178.36,185.54,178.04,183.91,1246100
2019-08-14,181.77,183.57,178.85,179.53,1405800
2019-08-15,180.01,182.04,178.37,181.12,823100
2019-08-16,183.08,185.75,180.84,184.94,1304200
2019-08-19,186.24,187.71,185.88,187.09,963200
2019-08-20,187.04,188.44,182.9,183.72,1001300
2019-08-21,185.86,187.3,184.6,186.4,575500
2019-08-22,186.76,187.62,181.48,184.21,1026800
2019-08-23,184.36,186.78,179.24,180.18,1198700
2019-08-26,180.82,182.38,179.56,180.64,829500
2019-08-27,181.99,182.92,177.27,178.25,940100
2019-08-28,177.47,180.71,170.54,178.34,1680200
2019-08-29,179.3,180.5,178.14,178.98,680300
2019-08-30,180.26,181.2,178.76,180.02,892900
2019-09-03,180.55,181.57,177.58,178.7,1030100
