Date,Dividend,Split
1995-02-09,0.16125,
1995-05-09,0.16125,
1995-08-11,0.16125,
1995-11-13,0.17125,
1995-12-21,,2
1996-02-13,0.171,
1996-05-13,0.171,
1996-08-13,0.171,
1996-11-13,0.171,
1997-02-12,0.18,
1997-05-13,0.18,
1997-08-13,0.18,
1997-10-16,,2
1997-11-12,0.2,
1998-02-11,0.2,
1998-05-13,0.2,
1998-08-12,0.2,
1998-11-10,0.2,
1999-02-10,0.23,
1999-05-12,0.23,
1999-08-11,0.23,
1999-11-10,0.23,
2000-02-11,0.26,
2000-05-11,0.26,
2000-08-11,0.26,
2000-11-13,0.26,
2001-02-13,0.28,
2001-05-11,0.28,
2001-08-13,0.28,
2001-11-13,0.28,
2002-02-13,0.31,
2002-05-13,0.31,
2002-08-13,0.31,
2002-11-13,0.31,
2003-02-12,0.335,
2003-05-13,0.335,
2003-08-13,0.335,
2003-11-12,0.335,
2004-02-11,0.355,
2004-05-12,0.355,
2004-08-11,0.355,
2004-11-10,0.355,
2005-02-11,0.38,
2005-05-11,0.38,
2005-08-11,0.38,
2005-11-10,0.38,
2006-02-13,0.4,
2006-05-11,0.4,
2006-08-11,0.4,
2006-11-13,0.4,
2007-02-13,0.425,
2007-05-11,0.425,
2007-08-13,0.425,
2007-11-13,0.425,
2008-02-13,0.47,
2008-05-13,0.47,
2008-08-13,0.47,
2008-11-12,0.47,
2009-02-11,0.49,
2009-05-13,0.49,
2009-08-12,0.49,
2009-11-10,0.49,
2010-02-10,0.49,
2010-05-12,0.49,
2010-08-11,0.49,
2010-11-10,0.49,
2011-02-11,0.49,
2011-05-11,0.49,
2011-08-11,0.49,
2011-11-10,0.49,
2012-02-13,0.49,
2012-05-11,0.49,
2012-08-13,0.49,
2012-11-13,0.49,
2013-02-13,0.49,
2013-05-14,0.49,
2013-08-13,0.49,
2013-11-13,0.49,
2014-02-12,0.49,
2014-05-13,0.49,
2014-08-13,0.49,
2014-11-12,0.49,
2015-02-11,0.5,
2015-05-14,0.5,
2015-08-12,0.5,
2015-11-10,0.5,
2016-02-10,0.51,
2016-05-11,0.51,
2016-08-11,0.51,
2016-11-10,0.51,
2017-02-13,0.52,
2017-05-11,0.52,
2017-08-11,0.52,
2017-11-14,0.52,
2018-02-14,0.563,
2018-05-16,0.563,
2018-08-14,0.563,
2018-11-14,0.563,
2019-02-14,0.645,
2019-05-16,0.645,
2019-08-14,0.645,
2019-11-14,0.645,
2020-02-13,0.74,
2020-05-14,0.74,
2020-08-13,0.74,
2020-11-12,0.74,
2021-02-11,0.85,
2021-05-13,0.85,
2021-08-12,0.85,
2021-11-12,0.85,
2022-02-14,0.98,
2022-05-13,0.98,
2022-08-12,0.98,
2022-11-14,0.98,
2023-02-14,1.13,
2023-05-12,1.13,
2023-08-14,1.13,
2023-11-14,1.13,
2024-02-14,1.3,
2024-05-15,1.3,
2024-08-15,1.3,
2024-11-15,1.3,
2025-02-14,1.5,
2025-05-16,1.5,
2025-08-15,1.5,
2025-11-14,1.5,
2026-02-13,1.73,
2026-05-15,1.73,
2026-08-14,1.73,
