Date,Open,High,Low,Close,Volume
2015-01-02,105.05,105.55,104.13,104.52,5753600
2015-01-05,104.48,104.73,103.68,103.79,8079300
2015-01-06,104.34,104.99,102.94,103.28,7428000
2015-01-07,103.91,105.83,103.81,105.56,7931700
2015-01-08,106.06,106.49,105.75,106.39,9916000
2015-01-09,106.5,106.5,104.75,104.94,7364800
2015-01-12,105.17,105.82,104.3,104.58,6839000
2015-01-13,105.44,106.33,104.24,104.76,10151100
2015-01-14,103.86,104.43,103.51,104,8887700
2015-01-15,102.97,103.93,101.95,102.49,10834800
2015-01-16,102.06,104.62,102,104.04,14092300
2015-01-20,101.55,102.05,100.26,101.29,20460000
2015-01-21,100.56,102.1,100.4,101.9,11702900
2015-01-22,102.39,103.83,101.57,103.76,9036600
2015-01-23,102.94,102.97,101.94,102.2,10126000
2015-01-26,101.8,102.45,101.21,102.26,8962800
2015-01-27,101.83,102.77,100.93,102.09,10160500
2015-01-28,102.48,102.93,101.44,101.48,9053200
2015-01-29,101.51,102.46,100.67,102.38,7569300
2015-01-30,101.58,102,100.09,100.14,10676300
2015-02-02,100.49,100.85,99.38,100.83,8990700
2015-02-03,101.4,102.56,101.12,102.46,10005200
2015-02-04,102.12,102.45,101.02,101.36,9514100
2015-02-05,101.57,102.56,101.46,102.46,6642200
2015-02-06,102.11,102.45,100.83,101.1,9215700
2015-02-09,101.06,101.06,99.1,99.78,9851700
2015-02-10,100.19,100.7,99.43,100.35,12275500
2015-02-11,100.46,100.79,99.95,100.38,8177000
2015-02-12,100.5,100.54,97.15,98.44,25835200
2015-02-13,98.44,99.67,98.33,99.62,11153600
2015-02-17,99.39,100.48,99.12,100.44,8627100
2015-02-18,100.7,100.94,99.38,99.96,7878200
2015-02-19,99.95,100.84,99.61,100.7,10028200
2015-02-20,100.18,100.37,99.11,100.26,10085700
2015-02-23,100.74,100.77,99.8,100.18,6878200
2015-02-24,100.25,101.05,100,100.7,6587200
2015-02-25,100.94,101.29,100.16,101.21,9684000
2015-02-26,101.38,103.18,101.22,102.8,11437900
2015-02-27,103.04,103.33,102.48,102.51,8500000
2015-03-02,102.51,103.41,102.51,103.22,7277600
2015-03-03,103.1,103.1,101.81,102.34,6419700
