Date,Dividend,Split
2013-03-13,0.142498,
2013-05-13,0.142498,
2013-08-14,0.142498,
2013-11-13,0.142498,
2014-02-13,0.209556,
2014-05-12,0.209556,
2014-08-11,0.209556,
2014-11-07,0.209556,
2015-02-13,0.209556,
2015-05-11,0.209556,
2015-08-10,0.209556,
2015-11-09,0.209556,
2016-02-12,0.243085,
2016-05-09,0.243085,
2016-08-08,0.243085,
2016-11-07,0.243085,
2017-02-02,0.243085,
2017-05-08,0.243085,
2017-08-07,0.243085,
2017-11-07,0.243085,
2017-12-05,,1.193
2018-02-02,0.22,
2018-05-08,0.22,
2019-02-05,0.22,
2019-05-07,0.22,
2019-08-06,0.22,
2019-11-05,0.22,
2020-02-04,0.22,
