Date,Shares
2023-06-23,398512992
2023-06-24,398600000
2023-07-05,399534016
2023-07-06,403008992
2023-07-07,398600000
2023-07-12,398512992
2023-07-13,398600000
2023-07-19,407076992
2023-07-21,398600000
2023-08-22,399000000
2023-08-23,398512992
2023-08-24,399000000
2023-09-08,399000000
2023-09-13,416752992
2023-09-15,399000000
2023-10-19,399000000
2023-10-22,399000000
2023-10-23,399000000
2023-11-01,399300000
2023-11-02,399300000
2023-11-04,401847008
2023-11-08,400391008
2023-11-09,399300000
2023-12-06,403902016
2023-12-22,399300000
2024-01-06,399300000
2024-03-08,399500000
2024-03-12,399500000
2024-03-16,399500000
2024-03-19,399892000
2024-03-20,399892000
2024-03-21,399892000
2024-03-27,399892000
2024-03-28,402092000
2024-03-29,399892000
2024-04-09,399892000
2024-04-11,399892000
2024-04-16,403976000
2024-04-18,399892000
2024-04-19,399892000
2024-04-20,399892000
2024-04-23,399892000
2024-04-24,399892000
2024-04-25,402023008
2024-04-26,399892000
2024-04-27,399892000
2024-04-30,399892000
2024-05-01,399892000
2024-05-04,399892000
2024-05-06,399892000
2024-05-07,399892000
2024-05-09,399892000
2024-05-10,399892000
2024-05-11,399892000
2024-05-16,399892000
2024-05-21,399892000
2024-05-22,399892000
2024-05-23,400545984
2024-05-24,399892000
2024-05-25,399892000
2024-05-31,399892000
2024-06-04,399892000
2024-06-06,399892000
2024-06-07,416641984
2024-06-08,399892000
2024-06-11,399892000
2024-06-12,399892000
2024-06-15,411587008
2024-06-18,399892000
2024-06-19,399892000
2024-06-21,399892000
2024-06-26,399892000
2024-06-28,401585984
2024-06-29,399892000
2024-07-03,399892000
2024-07-04,399892000
2024-07-10,400206016
2024-07-11,399892000
2024-07-12,399892000
2024-07-13,399892000
2024-07-16,399892000
2024-07-18,399892000
2024-07-24,399892000
2024-07-25,399892000
2024-07-26,399892000
2024-07-27,399892000
2024-08-02,399892000
2024-08-03,398100000
2024-08-07,398100000
2024-08-08,398100000
2024-08-13,402531008
2024-08-17,398100000
2024-08-27,402243008
2024-08-28,398100000
2024-08-29,401395008
2024-08-30,398100000
2024-09-04,398100000
2024-09-06,402350016
2024-09-07,399148000
2024-09-11,399591008
2024-09-28,403639008
2024-10-04,398100000
2024-10-18,398100000
2024-10-25,398643008
2024-10-29,398100000
2024-10-31,401281984
2024-11-01,398100000
2024-11-02,395200000
2024-11-05,395200000
2024-11-16,398359008
2024-11-19,396480992
2024-11-20,395200000
2024-12-06,402091008
2024-12-11,401340000
2024-12-13,398803008
2024-12-14,395200000
2024-12-17,396156992
2025-01-11,399436000
2025-01-14,395860992
2025-01-18,395200000
2025-01-22,395200000
2025-02-08,398735008
2025-03-04,412919008
2025-03-11,402407008
2025-03-18,391768992
2025-03-22,391888992
2025-03-26,391768992
2025-03-27,391768992
2025-03-28,398199008
2025-04-01,391768992
2025-04-10,410393984
2025-04-11,391768992
2025-04-18,391768992
2025-04-22,405132000
2025-04-23,391768992
2025-05-04,391768992
2025-05-06,391300000
2025-05-07,391916992
2025-05-13,391300000
2025-05-14,391300000
2025-05-29,394292000
2025-05-30,391300000
2025-05-31,391300000
2025-06-04,391300000
2025-06-05,391300000
2025-06-06,392019008
2025-06-10,391300000
2025-06-11,391300000
2025-06-14,391300000
2025-06-17,400179008
2025-06-18,391300000
2025-07-08,391300000
2025-07-09,391300000
2025-08-07,389432000
2025-08-16,389300000
2025-08-19,389300000
2025-09-06,389300000
2025-09-09,389300000
2025-09-26,397272997
2025-10-06,392739967
2025-10-07,389300000
2025-10-08,398829423
2025-10-15,389300000
2025-10-18,391688152
2025-11-01,390861036
2025-11-05,398421320
2025-11-06,388400000
2025-11-15,390251676
2025-11-17,389300000
2026-03-10,387900000
2026-03-20,388400000
2026-04-23,387985340
2026-05-06,388300000
2026-08-06,388400000
