Date,Shares
2025-07-03,270827008
2025-07-08,276495008
2025-07-09,270827008
2025-07-11,270827008
2025-07-12,270827008
2025-07-17,270827008
2025-07-18,270827008
2025-07-19,270827008
2025-07-23,270827008
2025-07-24,270827008
2025-07-26,270827008
2025-07-29,270827008
2025-07-30,270827008
2025-08-01,270827008
2025-08-02,270827008
2025-08-07,270827008
2025-08-08,272431008
2025-08-12,270827008
2025-08-15,270827008
2025-08-21,270827008
2025-08-23,270827008
2025-08-26,270827008
2025-08-28,270827008
2025-08-30,270328992
2025-09-05,270328992
2025-09-10,270328992
2025-09-13,270328992
2025-09-15,271136000
2025-09-16,270328992
2025-09-17,270329392
2025-09-20,270329392
2025-09-23,270329392
2025-09-25,270329392
2025-09-26,270329392
2025-10-01,274308128
2025-10-02,277666160
2025-10-07,270329392
2025-10-08,270329392
2025-10-09,270329392
2025-10-17,270329392
2025-10-18,270329392
2025-10-24,270329392
2025-10-25,270329392
2025-10-27,270329392
2025-10-31,270329392
2025-11-01,272542951
2025-11-04,270329392
2025-11-05,270329392
2025-11-06,270329392
2025-11-07,270329392
2025-11-12,270329392
2025-11-13,270329392
2025-11-15,270329392
2025-11-17,270329392
2025-12-20,270445437
2026-01-16,271074458
2026-03-06,270107282
2026-05-30,269937425
2026-08-29,269625412
