Date,Dividend,Split
1995-01-11,0.03,
1995-04-12,0.03,
1995-07-17,0.03,
1995-10-16,0.0325,
1996-01-22,0.0325,
1996-04-15,0.0325,
1996-07-22,0.0325,
1996-10-21,0.035,
1997-01-17,0.035,
1997-04-21,0.035,
1997-07-21,0.035,
1997-10-20,0.0375,
1998-01-16,0.0375,
1998-04-20,0.0375,
1998-07-20,0.0375,
1998-10-19,0.04,
1999-01-15,0.04,
1999-04-19,0.04,
1999-07-19,0.04,
1999-10-18,0.0425,
2000-01-14,0.0425,
2000-04-17,0.0425,
2000-07-17,0.0425,
2000-10-16,0.045,
2001-01-22,0.045,
2001-04-16,0.045,
2001-07-16,0.045,
2001-10-22,0.0475,
2002-01-18,0.0475,
2002-04-15,0.0475,
2002-07-22,0.0475,
2002-10-21,0.0475,
2003-01-17,0.05,
2003-04-21,0.05,
2003-07-21,0.05,
2003-10-20,0.0525,
2004-01-16,0.0525,
2004-04-19,0.0525,
2004-07-19,0.0525,
2004-09-29,,2
2004-10-18,0.055,
2005-01-14,0.055,
2005-04-18,0.055,
2005-07-18,0.055,
2005-10-17,0.06,
2006-01-13,0.06,
2006-04-17,0.06,
2006-07-17,0.06,
2006-10-16,0.065,
2007-01-22,0.065,
2007-04-16,0.065,
2007-07-16,0.065,
2007-10-22,0.07,
2008-01-18,0.07,
2008-04-21,0.07,
2008-07-21,0.07,
2008-10-20,0.075,
2009-01-16,0.075,
2009-04-20,0.075,
2009-07-20,0.075,
2009-10-19,0.08,
2010-01-15,0.08,
2010-04-19,0.08,
2010-07-19,0.08,
2010-10-18,0.085,
2011-01-14,0.085,
2011-04-18,0.085,
2011-07-18,0.085,
2011-10-17,0.09,
2012-01-13,0.09,
2012-04-16,0.09,
2012-07-16,0.09,
2012-10-22,0.095,
2013-01-18,0.095,
2013-04-15,0.095,
2013-07-22,0.095,
2013-09-27,,2
2013-10-21,0.1,
2014-01-17,0.1,
2014-04-21,0.1,
2014-07-21,0.1,
2014-10-20,0.11,
2015-01-16,0.11,
2015-04-20,0.11,
2015-07-20,0.11,
2015-10-19,0.12,
2016-01-15,0.12,
2016-04-18,0.12,
2016-07-18,0.12,
2016-10-17,0.13,
2017-01-13,0.13,
2017-04-17,0.13,
2017-07-17,0.13,
2017-10-17,0.14,
2018-01-17,0.14,
2018-04-17,0.14,
2018-07-17,0.14,
2018-10-23,0.15,
2019-01-22,0.15,
2019-04-16,0.15,
2019-07-23,0.15,
2019-10-22,0.16,
2020-01-21,0.16,
2020-04-21,0.16,
2020-07-28,0.16,
2020-11-09,0.17,
2021-01-19,0.17,
2021-04-20,0.17,
2021-07-20,0.17,
2021-11-09,0.18,
2022-01-18,0.18,
2022-04-19,0.18,
2022-07-19,0.18,
2022-11-08,0.19,
2023-01-24,0.19,
2023-04-25,0.19,
2023-07-25,0.19,
2023-11-07,0.2,
2024-01-30,0.2,
2024-04-23,0.2,
2024-07-31,0.2,
2024-11-13,0.21,
2025-02-07,0.21,
2025-04-30,0.21,
2025-07-30,0.21,
2025-11-12,0.22,
2026-01-28,0.22,
2026-04-29,0.22,
2026-07-29,0.22,
