Date,Open,High,Low,Close,Volume
2024-01-02,169.09,172.17,168.91,172.08,9977400
2024-01-03,171.86,172.04,170.37,171.33,9852300
2024-01-04,170.64,173.35,170.54,171.41,11972500
2024-01-05,171.47,173.38,171.47,172.27,10066000
2024-01-08,172.02,172.36,169.49,172.02,11229900
2024-01-09,171.62,171.79,170.1,170.66,9923600
2024-01-10,170,171.08,168.95,171.02,9670200
2024-01-11,170.33,170.36,168.64,170.3,11919500
2024-01-12,173.8,176.31,168.9,169.05,19436500
2024-01-16,164.87,168.09,164.3,167.99,17206400
2024-01-17,167.34,169.07,166.49,167.09,11107500
2024-01-18,167.12,167.53,165.24,167.42,9382300
2024-01-19,167.55,170.57,167.08,170.31,13115700
2024-01-22,170.46,171.98,169.71,170.11,12837500
2024-01-23,169.67,169.75,168.44,168.99,8360800
2024-01-24,169.36,171.01,168.86,170.5,9967100
2024-01-25,172.31,172.99,170.91,172.94,8873500
2024-01-26,172.61,173.06,171.78,172.28,7443000
2024-01-29,172.24,172.84,171.3,172.73,6971200
2024-01-30,172.83,176.76,172.83,176.27,10822100
2024-01-31,176.2,178.3,174.34,174.36,11521800
2024-02-01,173.64,174.84,171.43,173.73,9354800
2024-02-02,173.3,175.82,173.26,174.73,8607600
2024-02-05,173.86,175.09,172.92,174.5,7820200
2024-02-06,174.61,175.87,173.76,175.1,6764800
2024-02-07,175.69,175.87,173.96,175.43,7225500
2024-02-08,175,175.31,173.57,174.8,6060300
2024-02-09,175,175.1,173.67,175.01,6296700
2024-02-12,174.78,176.81,173.7,175.79,8539300
2024-02-13,175.32,176.23,172.62,174.26,8397600
2024-02-14,175.07,176.1,174.42,176.03,7056700
2024-02-15,176.15,180.21,176.15,179.87,8723400
2024-02-16,179.61,179.98,178.16,179.03,8152600
2024-02-20,179.19,180.46,178.41,179.73,9668000
2024-02-21,179.95,180.99,178.52,180.9,7024000
2024-02-22,181.82,183.42,181.24,183.07,9296500
2024-02-23,183.81,185.2,183.19,183.99,7105800
2024-02-26,183.75,184.46,182.48,183.36,7145400
2024-02-27,183.31,183.54,182.24,183.45,5717100
2024-02-28,183.43,185.2,182.96,184.38,6131600
2024-02-29,185.66,186.43,183.85,186.06,9643000
2024-03-01,185.7,186.44,185.1,185.29,6311800
2024-03-04,184.71,187.59,184.27,186.68,7063600
2024-03-05,186.36,189.3,186.36,188.55,6617800
2024-03-06,189.25,190.07,187.63,189.53,7572900
