Date,Dividend,Split
1995-03-06,0.016667,
1996-03-06,0.020833,
1997-03-05,0.025,
1997-11-19,,2
1998-02-04,0.03,
1999-02-03,0.036667,
2000-02-02,0.046667,
2000-03-08,,1.5
2001-01-31,0.055,
2002-02-13,0.0625,
2003-02-05,0.0675,
2004-02-06,0.0725,
2005-02-04,0.08,
2006-02-03,0.0875,
2007-02-02,0.0975,
2008-02-04,0.115,
2009-02-02,0.1175,
2010-02-08,0.12,
2010-11-09,0.1225,
2011-11-08,0.135,
2012-11-07,0.16,
2013-11-06,0.1925,
2014-11-05,0.425,
2015-11-04,0.2625,
2016-11-02,0.3325,
2017-11-09,0.405,
2018-11-08,0.5125,
2019-11-07,0.6375,
2020-11-05,0.8775,
2021-02-11,0.1875,
2021-05-13,0.1875,
2021-08-12,0.2375,
2021-11-12,0.2375,
2022-02-14,0.2375,
2022-05-13,0.2375,
2022-08-12,0.2875,
2022-11-14,0.2875,
2023-02-14,0.2875,
2023-05-12,0.2875,
2023-08-14,0.3375,
2023-11-14,0.3375,
2024-02-14,0.3375,
2024-05-14,0.3375,
2024-08-15,0.39,
2024-09-12,,4
2024-11-15,0.39,
2025-02-14,0.39,
2025-05-15,0.39,
2025-08-15,0.45,
2025-11-14,0.45,
2026-02-13,0.45,
2026-05-15,0.45,
2026-08-14,0.52,
