Date,Open,High,Low,Close,Volume
2026-02-06,24,32.44,20.16,26.4,1193200
2026-02-09,25.25,28.44,24.71,26.18,206400
2026-02-10,26.35,28.05,25.4,27.83,101100
2026-02-11,28.02,28.93,26.77,27.55,44500
2026-02-12,27.96,28.48,27.15,27.5,64300
2026-02-13,27.82,29.47,27.55,28.22,97200
2026-02-17,28,28.85,27.69,27.69,53400
2026-02-18,27.96,28.91,27.43,28.5,205400
2026-02-19,28.5,30.56,28.28,29.68,309400
2026-02-20,29.66,29.79,28.5,29.32,41400
2026-02-23,29.1,29.75,27.99,29.35,52200
2026-02-24,29.49,29.5,28.25,29.29,41800
2026-02-25,29.5,29.5,28.62,29.13,77800
2026-02-26,28.89,29.13,28,28.35,40900
2026-02-27,28.21,28.54,27.81,28,44700
2026-03-02,27.9,28.38,25.5,26.73,57900
2026-03-03,26.73,27.45,26,26.75,90800
2026-03-04,27.39,28,26.61,26.68,83400
2026-03-05,26.68,27.67,25.73,26.42,90300
2026-03-06,26.59,27.99,25.25,26.68,97300
2026-03-09,26.84,28.99,26.55,27.12,187000
2026-03-10,27.13,27.41,26.61,26.82,309600
2026-03-11,26.95,29.11,26.4,27.1,150700
2026-03-12,27.01,27.4,26.36,26.42,74200
2026-03-13,26.9,27.65,26.22,26.55,101900
2026-03-16,26.44,28.2,26.44,27.1,85200
2026-03-17,26.64,27.77,26.62,27.2,155800
2026-03-18,27.03,27.76,26.62,26.8,174600
2026-03-19,26.5,27.2,25.41,25.71,198300
2026-03-20,25.3,26.26,25.3,26,728500
2026-03-23,26.01,27.13,25.34,26.35,160700
2026-03-24,26.01,26.01,22.41,23.74,138600
2026-03-25,23.64,25.96,23.64,25.22,72600
2026-03-26,24.6,25.78,24.6,25.2,87300
2026-03-27,24.63,24.63,21.29,22.61,95400
2026-03-30,22.6,23.4,22.14,23.37,67800
2026-03-31,23.59,26.44,23.44,25.91,91100
2026-04-01,25.77,27.23,24.28,24.44,88800
2026-04-02,24.1,24.58,21.38,22.46,138000
2026-04-06,22.34,22.98,21.4,22.65,123600
2026-04-07,22.19,22.19,20.15,21.07,90300
2026-04-08,21.35,22.3,21.02,22.22,148000
2026-04-09,21.86,22.95,21,21.22,62400
2026-04-10,21.35,21.55,20.6,20.75,82400
2026-04-13,20.36,24.1,20.36,23.87,124400
2026-04-14,24.1,25.28,23.51,24.52,90300
2026-04-15,24.57,25.29,24.13,24.73,28100
2026-04-16,25.06,25.06,24.37,25.03,22100
2026-04-17,25.15,25.88,24.69,24.94,43800
2026-04-20,24.94,25.5,24.3,24.52,23100
2026-04-21,24.98,24.98,24.14,24.45,32800
2026-04-22,24.75,24.75,24.12,24.49,54800
2026-04-23,24.73,24.73,23.53,23.63,90600
2026-04-24,23.65,24,21.76,23.52,91500
2026-04-27,23.36,24.65,23.02,23.65,111100
2026-04-28,23.98,24.1,22.72,23,19100
2026-04-29,23.29,24.25,21.4,22.13,43000
2026-04-30,22.48,23.35,22.48,22.94,56800
2026-05-01,23.06,24.27,22.44,23.98,83500
2026-05-04,23.98,25.06,23.98,24.41,64400
2026-05-05,24.88,25,23.75,24.41,63900
2026-05-06,24.65,25.65,24.6,25.06,161600
2026-05-07,25.3,25.48,24.56,25.39,134500
2026-05-08,25.77,25.77,23.4,23.41,31500
2026-05-11,23.18,23.89,22.57,23.76,25600
2026-05-12,23.59,24.35,23.19,24.14,42700
2026-05-13,24.27,24.48,23.65,23.82,20300
2026-05-14,23.95,24.57,23.45,24.27,31100
2026-05-15,21.9,24.77,21.9,23.21,34900
2026-05-18,23.68,24.09,21.84,22.24,40700
2026-05-19,22.45,22.71,21.16,21.2,45200
2026-05-20,21.31,22.42,21.05,21.89,37900
2026-05-21,22.07,23.61,21.46,22.05,79900
2026-05-22,21.8,22.35,20.53,20.84,107200
2026-05-26,20.84,21.61,19.46,20.62,86600
2026-05-27,20.59,21.29,19.73,20.17,52100
2026-05-28,20.28,20.57,19.46,19.84,41400
2026-05-29,20,20,19.02,19.26,44600
2026-06-01,19.2,19.53,18.18,18.32,44700
2026-06-02,17.89,18.54,17.6,18.36,44900
2026-06-03,18.07,18.78,18.07,18.56,47100
2026-06-04,19.19,20.01,18.53,19.47,58500
